# VIPERS Database
# File    : VIPERS_W1_SPECTRO_PDR1.txt.gz
# Date    : 2013-10-15 10:43
# Table   : W1_SPECTRO_PDR1
# Columns : 14
# Rows    : 30523
# SQL     : SELECT W1_SPECTRO_PDR1.id_IAU, W1_SPECTRO_PDR1.num, W1_SPEC
#           TRO_PDR1.alpha, W1_SPECTRO_PDR1.delta, W1_SPECTRO_PDR1.selm
#           ag, W1_SPECTRO_PDR1.errselmag, W1_SPECTRO_PDR1.pointing, W1
#           _SPECTRO_PDR1.quadrant, W1_SPECTRO_PDR1.zflg, W1_SPECTRO_PD
#           R1.zspec, W1_SPECTRO_PDR1.epoch, W1_SPECTRO_PDR1.photoMask,
#            W1_SPECTRO_PDR1.tsr, W1_SPECTRO_PDR1.ssr FROM W1_SPECTRO_P
#           DR1
# id_IAU	num	alpha	delta	selmag	errselmag	pointing	quadrant	zflg	zspec	epoch	photoMask	tsr	ssr
# CHAR	VARCHAR	DOUBLE	DOUBLE	FLOAT	FLOAT	VARCHAR	INT	FLOAT	FLOAT	INT	CHAR	FLOAT	FLOAT
# 		deg	deg	mag	mag								
VIPERS 122101587	122101587	33.368542	-4.208880	21.5193	0.0141	W1P044	1	  4.5	0.5912	1	1	0.4525	0.844
VIPERS 122087697	122087697	33.370934	-4.273479	20.7813	0.0097	W1P044	1	  4.4	0.4965	1	1	0.4479	0.884
VIPERS 122106794	122106794	33.370080	-4.181554	20.0573	0.0089	W1P044	1	  3.5	0.6594	1	1	0.4392	0.982
VIPERS 122108674	122108674	33.372543	-4.175802	22.4461	0.0332	W1P044	1	  1.2	0.8124	1	1	0.4463	-1.000
VIPERS 122107825	122107825	33.373890	-4.177763	21.5037	0.0185	W1P044	1	  1.2	0.8192	1	1	0.4525	-1.000
VIPERS 122099259	122099259	33.376135	-4.219551	21.4178	0.0157	W1P044	1	  3.2	0.6200	1	1	0.4519	0.920
VIPERS 122108498	122108498	33.377044	-4.173368	22.3252	0.0288	W1P044	1	  3.2	0.4560	1	1	0.4463	0.608
VIPERS 122104586	122104586	33.378809	-4.193337	20.8668	0.0140	W1P044	1	  3.5	0.6497	1	1	0.4479	0.959
VIPERS 122084058	122084058	33.380874	-4.288411	22.0575	0.0252	W1P044	1	  4.2	0.7263	1	1	0.4524	0.771
VIPERS 122098063	122098063	33.380806	-4.224503	21.8925	0.0286	W1P044	1	  2.2	1.0258	1	1	0.4508	0.638
VIPERS 122090974	122090974	33.384067	-4.258466	21.4211	0.0167	W1P044	1	  3.2	0.6634	1	1	0.4519	0.920
VIPERS 122102271	122102271	33.385590	-4.205549	21.8047	0.0179	W1P044	1	  1.2	0.2773	1	1	0.4508	-1.000
VIPERS 122090493	122090493	33.388345	-4.259844	22.2120	0.0214	W1P044	1	  4.2	0.0000	1	1	-1.0000	-1.000
VIPERS 122099260	122099260	33.387416	-4.219948	22.0684	0.0242	W1P044	1	  3.2	0.6196	1	1	0.4524	0.756
VIPERS 122108158	122108158	33.387487	-4.178111	21.5558	0.0192	W1P044	1	  2.5	0.5875	1	1	0.4525	0.844
VIPERS 122093677	122093677	33.392766	-4.243913	21.8096	0.0265	W1P044	1	  2.5	0.6173	1	1	0.4508	0.856
VIPERS 122102045	122102045	33.393837	-4.206832	22.3421	0.0251	W1P044	1	  2.5	0.9352	1	1	0.4463	0.745
VIPERS 122087405	122087405	33.395731	-4.274759	21.2222	0.0147	W1P044	1	  2.5	0.9461	1	1	0.4410	0.815
VIPERS 122104106	122104106	33.396247	-4.194406	21.9979	0.0426	W1P044	1	  1.2	0.5208	1	1	0.4508	-1.000
VIPERS 122082411	122082411	33.398946	-4.296009	21.9941	0.0438	W1P044	1	  2.5	0.4458	1	1	0.4508	0.799
VIPERS 122091634	122091634	33.397865	-4.255511	21.3903	0.0136	W1P044	1	  3.2	0.7233	1	1	0.4519	0.903
VIPERS 122108737	122108737	33.398002	-4.175450	22.1597	0.0231	W1P044	1	  2.5	0.6201	1	1	0.4524	0.756
VIPERS 122088385	122088385	33.400226	-4.269893	21.6318	0.0184	W1P044	1	  1.2	0.9416	1	1	0.4525	-1.000
VIPERS 122089540	122089540	33.403260	-4.264452	22.4903	0.0732	W1P044	1	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 122106181	122106181	33.403558	-4.186672	20.6957	0.0074	W1P044	1	 24.5	0.2682	1	1	-1.0000	-1.000
VIPERS 122106146	122106146	33.402875	-4.186715	21.4128	0.0130	W1P044	1	  4.5	0.6213	1	1	0.4519	0.920
VIPERS 122087483	122087483	33.405267	-4.273955	21.8808	0.0211	W1P044	1	  2.2	0.7753	1	1	0.4508	0.838
VIPERS 122095453	122095453	33.404602	-4.236778	20.2270	0.0057	W1P044	1	  3.2	0.4376	1	1	0.4392	0.837
VIPERS 122106036	122106036	33.404775	-4.187152	21.9067	0.0246	W1P044	1	  3.2	0.6243	1	1	0.4508	0.856
VIPERS 122089417	122089417	33.407386	-4.264943	22.4945	0.0335	W1P044	1	  2.2	1.0279	1	1	0.4463	0.619
VIPERS 122100675	122100675	33.407866	-4.213424	21.9931	0.0237	W1P044	1	  3.5	0.7403	1	1	0.4508	0.838
VIPERS 122086092	122086092	33.409607	-4.280245	21.7726	0.0269	W1P044	1	  1.2	0.5258	1	1	0.4508	-1.000
VIPERS 122090666	122090666	33.410777	-4.258191	20.2306	0.0069	W1P044	1	  3.4	0.6557	1	1	0.4392	0.982
VIPERS 122083753	122083753	33.413826	-4.289625	22.0649	0.0322	W1P044	1	  1.2	0.6674	1	1	0.4524	-1.000
VIPERS 122095107	122095107	33.413428	-4.238841	21.2633	0.0126	W1P044	1	  4.5	0.6574	1	1	0.4519	0.920
VIPERS 122103761	122103761	33.413507	-4.198297	21.7475	0.0234	W1P044	1	  4.5	0.5242	1	1	0.4525	0.782
VIPERS 122093569	122093569	33.415001	-4.246479	21.3610	0.0138	W1P044	1	  9.2	0.0080	1	1	0.4519	0.800
VIPERS 122088122	122088122	33.416554	-4.270551	22.0255	0.0211	W1P044	1	  1.2	0.9433	1	1	0.4524	-1.000
VIPERS 122097297	122097297	33.416268	-4.229218	22.2351	0.0238	W1P044	1	  2.2	0.9852	1	1	0.4524	0.745
VIPERS 122107671	122107671	33.418061	-4.180371	22.2488	0.0442	W1P044	1	  1.5	0.6385	1	1	0.4524	-1.000
VIPERS 122093382	122093382	33.420214	-4.247356	21.8739	0.0219	W1P044	1	  3.5	0.7725	1	1	0.4508	0.838
VIPERS 122085912	122085912	33.423493	-4.280589	21.4657	0.0229	W1P044	1	  1.5	1.0175	1	1	0.4519	-1.000
VIPERS 122099767	122099767	33.421644	-4.217471	22.3396	0.0279	W1P044	1	  3.5	0.6664	1	1	0.4463	0.756
